symbol,split,observations,mrs_threshold,ree_threshold,wds_freeze,wds_unfreeze,eligible_minutes,eligible_rate,freeze_minutes,freeze_rate,unfreeze_minutes,unfreeze_rate
USDJPY,training,21076,55,55,75,45,590,0.02799,49,0.00232,15881,0.75351
USDJPY,training,21076,55,55,80,50,590,0.02799,24,0.00114,18441,0.87498
USDJPY,training,21076,55,60,65,35,581,0.02757,182,0.00864,9011,0.42755
USDJPY,training,21076,55,60,70,40,581,0.02757,84,0.00399,12616,0.5986
USDJPY,training,21076,55,60,75,45,581,0.02757,49,0.00232,15881,0.75351
USDJPY,training,21076,55,60,80,50,581,0.02757,24,0.00114,18441,0.87498
USDJPY,training,21076,60,50,65,35,285,0.01352,182,0.00864,9011,0.42755
USDJPY,training,21076,60,50,70,40,285,0.01352,84,0.00399,12616,0.5986
USDJPY,training,21076,60,50,75,45,285,0.01352,49,0.00232,15881,0.75351
USDJPY,training,21076,60,50,80,50,285,0.01352,24,0.00114,18441,0.87498
USDJPY,training,21076,60,55,65,35,284,0.01348,182,0.00864,9011,0.42755
USDJPY,training,21076,60,55,70,40,284,0.01348,84,0.00399,12616,0.5986
USDJPY,training,21076,60,55,75,45,284,0.01348,49,0.00232,15881,0.75351
USDJPY,training,21076,60,55,80,50,284,0.01348,24,0.00114,18441,0.87498
USDJPY,training,21076,60,60,65,35,281,0.01333,182,0.00864,9011,0.42755
USDJPY,training,21076,60,60,70,40,281,0.01333,84,0.00399,12616,0.5986
USDJPY,training,21076,60,60,75,45,281,0.01333,49,0.00232,15881,0.75351
USDJPY,training,21076,60,60,80,50,281,0.01333,24,0.00114,18441,0.87498
USDJPY,training,21076,65,50,65,35,123,0.00584,182,0.00864,9011,0.42755
USDJPY,training,21076,65,50,70,40,123,0.00584,84,0.00399,12616,0.5986
USDJPY,training,21076,65,50,75,45,123,0.00584,49,0.00232,15881,0.75351
USDJPY,training,21076,65,50,80,50,123,0.00584,24,0.00114,18441,0.87498
USDJPY,training,21076,65,55,65,35,122,0.00579,182,0.00864,9011,0.42755
USDJPY,training,21076,65,55,70,40,122,0.00579,84,0.00399,12616,0.5986
USDJPY,training,21076,65,55,75,45,122,0.00579,49,0.00232,15881,0.75351
USDJPY,training,21076,65,55,80,50,122,0.00579,24,0.00114,18441,0.87498
USDJPY,training,21076,65,60,65,35,122,0.00579,182,0.00864,9011,0.42755
USDJPY,training,21076,65,60,70,40,122,0.00579,84,0.00399,12616,0.5986
USDJPY,training,21076,65,60,75,45,122,0.00579,49,0.00232,15881,0.75351
USDJPY,training,21076,65,60,80,50,122,0.00579,24,0.00114,18441,0.87498
USDJPY,validation,9033,50,50,65,35,493,0.05458,106,0.01173,3709,0.41061
USDJPY,validation,9033,50,50,70,40,493,0.05458,36,0.00399,5176,0.57301
USDJPY,validation,9033,50,50,75,45,493,0.05458,5,0.00055,6582,0.72866
USDJPY,validation,9033,50,50,80,50,493,0.05458,0,0.0,7751,0.85808
USDJPY,validation,9033,50,55,65,35,480,0.05314,106,0.01173,3709,0.41061
USDJPY,validation,9033,50,55,70,40,480,0.05314,36,0.00399,5176,0.57301
USDJPY,validation,9033,50,55,75,45,480,0.05314,5,0.00055,6582,0.72866
USDJPY,validation,9033,50,55,80,50,480,0.05314,0,0.0,7751,0.85808
USDJPY,validation,9033,50,60,65,35,436,0.04827,106,0.01173,3709,0.41061
USDJPY,validation,9033,50,60,70,40,436,0.04827,36,0.00399,5176,0.57301
USDJPY,validation,9033,50,60,75,45,436,0.04827,5,0.00055,6582,0.72866
USDJPY,validation,9033,50,60,80,50,436,0.04827,0,0.0,7751,0.85808
USDJPY,validation,9033,55,50,65,35,256,0.02834,106,0.01173,3709,0.41061
USDJPY,validation,9033,55,50,70,40,256,0.02834,36,0.00399,5176,0.57301
USDJPY,validation,9033,55,50,75,45,256,0.02834,5,0.00055,6582,0.72866
USDJPY,validation,9033,55,50,80,50,256,0.02834,0,0.0,7751,0.85808
USDJPY,validation,9033,55,55,65,35,252,0.0279,106,0.01173,3709,0.41061
USDJPY,validation,9033,55,55,70,40,252,0.0279,36,0.00399,5176,0.57301
USDJPY,validation,9033,55,55,75,45,252,0.0279,5,0.00055,6582,0.72866
USDJPY,validation,9033,55,55,80,50,252,0.0279,0,0.0,7751,0.85808
USDJPY,validation,9033,55,60,65,35,225,0.02491,106,0.01173,3709,0.41061
USDJPY,validation,9033,55,60,70,40,225,0.02491,36,0.00399,5176,0.57301
USDJPY,validation,9033,55,60,75,45,225,0.02491,5,0.00055,6582,0.72866
USDJPY,validation,9033,55,60,80,50,225,0.02491,0,0.0,7751,0.85808
USDJPY,validation,9033,60,50,65,35,121,0.0134,106,0.01173,3709,0.41061
USDJPY,validation,9033,60,50,70,40,121,0.0134,36,0.00399,5176,0.57301
USDJPY,validation,9033,60,50,75,45,121,0.0134,5,0.00055,6582,0.72866
USDJPY,validation,9033,60,50,80,50,121,0.0134,0,0.0,7751,0.85808
USDJPY,validation,9033,60,55,65,35,119,0.01317,106,0.01173,3709,0.41061
USDJPY,validation,9033,60,55,70,40,119,0.01317,36,0.00399,5176,0.57301
USDJPY,validation,9033,60,55,75,45,119,0.01317,5,0.00055,6582,0.72866
USDJPY,validation,9033,60,55,80,50,119,0.01317,0,0.0,7751,0.85808
USDJPY,validation,9033,60,60,65,35,107,0.01185,106,0.01173,3709,0.41061
USDJPY,validation,9033,60,60,70,40,107,0.01185,36,0.00399,5176,0.57301
USDJPY,validation,9033,60,60,75,45,107,0.01185,5,0.00055,6582,0.72866
USDJPY,validation,9033,60,60,80,50,107,0.01185,0,0.0,7751,0.85808
USDJPY,validation,9033,65,50,65,35,55,0.00609,106,0.01173,3709,0.41061
USDJPY,validation,9033,65,50,70,40,55,0.00609,36,0.00399,5176,0.57301
USDJPY,validation,9033,65,50,75,45,55,0.00609,5,0.00055,6582,0.72866
USDJPY,validation,9033,65,50,80,50,55,0.00609,0,0.0,7751,0.85808
USDJPY,validation,9033,65,55,65,35,55,0.00609,106,0.01173,3709,0.41061
