symbol,scenario,start,end,duration_minutes,mean_mrs,mean_wds,mean_ree_proxy
XAUUSD,TRANSITION,2026-01-05 23:07:00,2026-01-05 23:35:00,29,19.69,45.1,44.17
XAUUSD,TIGHT_RANGE,2026-01-05 23:36:00,2026-01-05 23:40:00,5,19.66,41.34,45.36
XAUUSD,TRANSITION,2026-01-05 23:41:00,2026-01-06 00:41:00,61,30.56,37.25,51.87
XAUUSD,WIDE_RANGE,2026-01-06 00:42:00,2026-01-06 00:42:00,1,28.8,40.64,50.17
XAUUSD,TRANSITION,2026-01-06 00:43:00,2026-01-06 00:44:00,2,35.39,40.41,53.26
XAUUSD,WIDE_RANGE,2026-01-06 00:45:00,2026-01-06 00:45:00,1,34.11,45.51,50.9
XAUUSD,TRANSITION,2026-01-06 00:46:00,2026-01-06 01:08:00,23,49.56,38.84,60.41
XAUUSD,WIDE_RANGE,2026-01-06 01:09:00,2026-01-06 01:15:00,7,27.44,47.41,47.31
XAUUSD,TRANSITION,2026-01-06 01:16:00,2026-01-06 03:42:00,147,31.99,33.62,54.11
XAUUSD,WIDE_RANGE,2026-01-06 03:43:00,2026-01-06 03:43:00,1,25.45,38.46,50.64
XAUUSD,TRANSITION,2026-01-06 03:44:00,2026-01-06 04:24:00,41,32.98,36.22,53.94
XAUUSD,WIDE_RANGE,2026-01-06 04:25:00,2026-01-06 04:25:00,1,33.32,49.59,45.02
XAUUSD,TRANSITION,2026-01-06 04:26:00,2026-01-06 04:28:00,3,33.58,43.74,47.26
XAUUSD,WIDE_RANGE,2026-01-06 04:29:00,2026-01-06 04:29:00,1,28.83,47.07,44.1
XAUUSD,TRANSITION,2026-01-06 04:30:00,2026-01-06 04:40:00,11,23.2,45.2,42.79
XAUUSD,TIGHT_RANGE,2026-01-06 04:41:00,2026-01-06 04:44:00,4,20.06,37.33,45.04
XAUUSD,TRANSITION,2026-01-06 04:45:00,2026-01-06 05:05:00,21,38.25,30.46,56.24
XAUUSD,WIDE_RANGE,2026-01-06 05:06:00,2026-01-06 05:06:00,1,31.45,43.1,48.75
XAUUSD,TRANSITION,2026-01-06 05:07:00,2026-01-06 06:01:00,55,24.8,39.32,47.59
XAUUSD,TIGHT_RANGE,2026-01-06 06:02:00,2026-01-06 06:02:00,1,17.62,48.55,42.25
XAUUSD,LOW_LIQUIDITY,2026-01-06 06:03:00,2026-01-06 06:03:00,1,29.55,27.81,55.0
XAUUSD,TIGHT_RANGE,2026-01-06 06:04:00,2026-01-06 06:15:00,12,20.33,40.71,46.92
XAUUSD,LOW_LIQUIDITY,2026-01-06 06:16:00,2026-01-06 06:17:00,2,29.85,22.05,57.59
XAUUSD,TRANSITION,2026-01-06 06:18:00,2026-01-06 06:35:00,18,34.78,36.3,53.92
XAUUSD,STRONG_TREND_UP,2026-01-06 06:36:00,2026-01-06 06:36:00,1,70.54,19.99,75.68
XAUUSD,TRANSITION,2026-01-06 06:37:00,2026-01-06 08:05:00,89,30.19,37.63,51.95
XAUUSD,WIDE_RANGE,2026-01-06 08:06:00,2026-01-06 08:08:00,3,23.92,42.42,49.19
XAUUSD,TRANSITION,2026-01-06 08:09:00,2026-01-06 08:11:00,3,37.65,24.77,61.45
XAUUSD,WIDE_RANGE,2026-01-06 08:12:00,2026-01-06 08:15:00,4,33.7,40.05,54.49
XAUUSD,TRANSITION,2026-01-06 08:16:00,2026-01-06 08:17:00,2,39.3,40.07,57.16
XAUUSD,WIDE_RANGE,2026-01-06 08:18:00,2026-01-06 08:29:00,12,26.44,48.49,48.33
XAUUSD,TRANSITION,2026-01-06 08:30:00,2026-01-06 08:31:00,2,37.45,37.83,56.98
XAUUSD,WIDE_RANGE,2026-01-06 08:32:00,2026-01-06 08:32:00,1,34.42,42.7,54.0
XAUUSD,TRANSITION,2026-01-06 08:33:00,2026-01-06 08:39:00,7,42.14,34.13,60.5
XAUUSD,WIDE_RANGE,2026-01-06 08:40:00,2026-01-06 08:42:00,3,30.83,44.83,51.67
XAUUSD,TRANSITION,2026-01-06 08:43:00,2026-01-06 10:15:00,93,36.16,33.59,56.44
XAUUSD,WIDE_RANGE,2026-01-06 10:16:00,2026-01-06 10:16:00,1,29.09,43.51,49.05
XAUUSD,TRANSITION,2026-01-06 10:17:00,2026-01-06 10:38:00,22,30.24,43.82,49.35
XAUUSD,WIDE_RANGE,2026-01-06 10:39:00,2026-01-06 10:46:00,8,26.21,52.75,44.74
XAUUSD,TRANSITION,2026-01-06 10:47:00,2026-01-06 11:25:00,39,26.29,38.72,49.45
XAUUSD,LOW_LIQUIDITY,2026-01-06 11:26:00,2026-01-06 11:42:00,17,39.11,26.44,59.92
XAUUSD,TRANSITION,2026-01-06 11:43:00,2026-01-06 12:09:00,27,22.31,41.41,46.53
